no,review,kelas
1,"Semua normal,trus packing good..thanks gan..jgn ragu sama agan ini..",positif
2,Ok barang sudah diterima dan sesaui dengan deskripsi,positif
3,Packing rapi dan barang bisa berfungsi denfan baik.,positif
4,"Barang cepet, sampe.. udh dicoba langsung online.",positif
5,"Barang oke, berfungsi, trimss",positif
6,barang sudah nyampe tapi belum dicek,positif
7,Produknya oke dan sesuai deskripsi,positif
8,Respons seller bagus tanggung jawab bagus,positif
9,"Barang sudah sampai,tapi belum saya check\nterimakasih",positif
10,Barang ok respon cepat.,positif
11,barang sesuai diskripsi pengiriman barang cepat,positif
12,Moga awet . Barang masih ke Segel,positif
13,Mantul lurr.........................,positif
14,"Proses Cepat dan barang datang sesuai, sudah di coba dan berfungsi",positif
15,Produk bagus... sesuai harapan...,positif
16,Mantap barang bagus dan berfungsi dengan baik.,positif
17,Produk sesuai deskripsi. Mantab,positif
18,Trims.........................,positif
19,"Barang di terima dgn kondisi baik, pengiriman cepat dan seller baik respon nya",positif
20,Trimssss................,positif
21,barang yang dikirim sesuai dengan pesanan,positif
22,Thank&#39;s Boss..........,positif
23,barang sdh di terima...packing baik..,positif
24,"""mantap...barang rekomended..",positif
25,Sangat ramah dah proses cepat,positif
26,"""Barang sesuai diskripsi, dicoba kartu Indosat ok,\nTerima kasih gan",positif
27,"Terimakasih pesan sudah terima, delivery cepat",positif
28,Produk sampai dengan selamat. Respon cepat...................,positif
29,"Penjual cepat dalam memproses order, produk sesuai keterangan dan foto di etalase.",positif
30,"Barang sesuai deskripsi, pengiriman cepat dan tentu saja harga murah daripada lapak yang lain. thanks.",positif
31,"Barang sdh sampai, respon cepat. Mantaap, thanks gan",positif
